order_id,order_date,customer_segment,region,product_category,product_name,unit_price,quantity,discount,total_revenue,payment_method,customer_rating
ORD-2024-0001,2024-02-27,Small Business,North America,Electronics,Smart Watch,211.25,1,0.0,211.25,Apple Pay,2
ORD-2024-0002,2024-02-17,Consumer,Latin America,Furniture,Standing Desk,436.45,2,0.0,872.9,Apple Pay,4
ORD-2024-0003,2024-01-04,Consumer,Asia-Pacific,Furniture,Desk Lamp LED,36.6,1,0.0,36.6,Credit Card,4
ORD-2024-0004,2024-07-02,Consumer,Latin America,Office Supplies,Stapler Heavy Duty,22.08,4,0.1,79.49,Bank Transfer,5
ORD-2024-0005,2024-07-04,Consumer,North America,Furniture,Ergonomic Office Chair,274.1,1,0.0,274.1,Credit Card,4
ORD-2024-0006,2024-08-20,Small Business,North America,Office Supplies,Gel Pen Set 12x,11.72,1,0.0,11.72,PayPal,4
ORD-2024-0007,2024-05-05,Small Business,Europe,Furniture,Desk Lamp LED,35.49,1,0.2,28.39,Bank Transfer,5
ORD-2024-0008,2024-01-29,Consumer,Asia-Pacific,Furniture,Ergonomic Office Chair,267.85,4,0.0,1071.4,Apple Pay,4
ORD-2024-0009,2024-08-22,Small Business,Latin America,Furniture,Bookshelf 5-Tier,120.47,1,0.1,108.42,Apple Pay,4
ORD-2024-0010,2024-03-11,Small Business,Europe,Apparel,Cotton Hoodie,53.09,3,0.15,135.38,Apple Pay,4
ORD-2024-0011,2024-07-16,Small Business,North America,Apparel,Waterproof Backpack,67.35,2,0.2,107.76,Credit Card,5
ORD-2024-0012,2024-10-01,Small Business,Asia-Pacific,Office Supplies,Stapler Heavy Duty,21.9,1,0.0,21.9,PayPal,4
ORD-2024-0013,2024-02-24,Small Business,North America,Office Supplies,Gel Pen Set 12x,12.05,1,0.1,10.85,Bank Transfer,4
ORD-2024-0014,2024-02-27,Consumer,North America,Office Supplies,Stapler Heavy Duty,22.15,1,0.0,22.15,Apple Pay,5
ORD-2024-0015,2024-09-29,Consumer,Latin America,Furniture,Standing Desk,434.93,3,0.15,1109.07,PayPal,5
ORD-2024-0016,2024-07-23,Corporate,North America,Office Supplies,Document Scanner,185.21,4,0.0,740.84,Credit Card,4
ORD-2024-0017,2024-04-27,Corporate,North America,Furniture,Ergonomic Office Chair,272.41,1,0.05,258.79,Credit Card,4
ORD-2024-0018,2024-05-22,Consumer,Latin America,Apparel,Tech Jacket,114.21,2,0.1,205.58,Apple Pay,5
ORD-2024-0019,2024-04-07,Small Business,North America,Electronics,Laptop Pro 15,1189.33,3,0.0,3567.99,Credit Card,2
ORD-2024-0020,2024-06-22,Corporate,Europe,Electronics,Wireless Headphones,144.6,1,0.05,137.37,Apple Pay,4
ORD-2024-0021,2024-02-08,Consumer,North America,Apparel,Cotton Hoodie,56.85,1,0.2,45.48,PayPal,4
