student_id,gender,course,study_hours_weekly,attendance_rate,midterm_score,final_score,passed
STU-001,F,Linear Algebra,5.1,63.5,52.3,50.5,No
STU-002,M,Database Systems,15.3,73.3,79.4,78.9,Yes
STU-003,M,Machine Learning,18.7,66.6,89.5,84.6,Yes
STU-004,F,Data Structures,4.1,89.3,61.2,59.5,No
STU-005,M,Linear Algebra,20.6,60.8,90.0,87.9,Yes
STU-006,F,Database Systems,21.6,90.8,90.5,100.0,Yes
STU-007,M,Linear Algebra,4.3,95.7,59.1,55.8,No
STU-008,F,Linear Algebra,11.9,61.3,67.3,63.6,Yes
STU-009,F,Linear Algebra,17.8,66.8,78.1,87.6,Yes
STU-010,M,Machine Learning,12.1,91.1,83.1,83.0,Yes
STU-011,F,Database Systems,22.8,99.9,95.7,100.0,Yes
STU-012,M,Data Structures,24.8,98.6,100.0,100.0,Yes
STU-013,F,Data Structures,7.2,81.5,59.8,65.2,Yes
STU-014,M,Linear Algebra,13.6,60.8,72.7,64.6,Yes
STU-015,F,Linear Algebra,4.0,84.7,50.6,52.3,No
STU-016,M,Machine Learning,22.8,91.8,93.6,100.0,Yes
STU-017,M,Linear Algebra,24.7,70.5,87.3,100.0,Yes
STU-018,M,Machine Learning,11.3,85.6,83.5,77.5,Yes
STU-019,F,Machine Learning,19.1,87.2,86.8,97.9,Yes
STU-020,M,Linear Algebra,19.9,75.5,83.6,100.0,Yes
STU-021,F,Linear Algebra,11.7,81.4,71.5,76.2,Yes
STU-022,M,Linear Algebra,13.1,89.7,77.1,81.6,Yes
STU-023,F,Database Systems,10.4,91.6,79.3,79.0,Yes
STU-024,M,Machine Learning,14.5,81.8,71.3,86.9,Yes
STU-025,M,Machine Learning,9.7,80.3,69.8,73.7,Yes
STU-026,F,Data Structures,23.7,63.2,92.4,100.0,Yes
STU-027,F,Data Structures,9.6,69.2,63.3,62.1,Yes
STU-028,M,Linear Algebra,20.5,79.4,88.8,87.6,Yes
STU-029,F,Linear Algebra,11.2,96.6,82.5,72.5,Yes
